city,barangay,date,month,precipitation,temp_mean,temp_min,temp_max,heat_index,wind_speed,relative_humidity,zone,evacuation_status,household_members,zone_incident_count,tag_bedridden,tag_pwd,tag_senior_citizen,tag_pregnant,tag_infant,rainy_season,weather_risk,risk_score,risk_label
Cagayan de Oro,Kauswagan,2016-12-19,12,7.5,26.58,23.28,29.08,31.01,2.86,84.3,Zone 3,Safe,3,0,0,0,0,0,0,1,Medium,97,HIGH
Cagayan de Oro,Kauswagan,2006-01-28,1,5.56,27.84,26.03,29.74,32.24,2.91,84.0,Zone 3,Evacuated,10,0,0,0,0,0,0,1,,83,HIGH
Cagayan de Oro,Kauswagan,2011-08-17,8,9.32,27.55,24.11,31.2,31.48,3.75,79.3,Zone 4,Safe,2,2,0,0,1,0,0,1,Medium,55,MEDIUM
Cagayan de Oro,Kauswagan,2006-11-11,11,13.11,26.4,24.31,28.3,30.38,3.39,79.8,Zone 1,Safe,5,3,1,0,0,0,1,1,Medium,84,HIGH
Cagayan de Oro,Kauswagan,2019-11-10,11,8.03,28.53,25.81,30.41,32.93,2.88,84.0,Zone 2,Evacuated,9,3,1,1,1,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2014-01-04,1,12.26,27.34,24.08,30.92,31.02,3.31,76.8,Zone 2,Safe,1,0,1,0,0,0,0,1,Medium,69,MEDIUM
Cagayan de Oro,Kauswagan,2018-02-24,2,5.85,27.27,24.14,31.21,29.91,2.91,66.4,Zone 2,Safe,3,0,0,0,0,0,0,1,,54,MEDIUM
Cagayan de Oro,Kauswagan,2011-09-06,9,8.64,27.27,24.71,30.29,31.86,0.07,85.9,Zone 5,Unaccounted,9,2,0,0,1,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2014-07-22,7,8.54,26.46,24.08,29.25,30.43,1.31,79.7,Zone 1,Safe,4,1,0,0,0,0,0,1,Medium,51,MEDIUM
Cagayan de Oro,Kauswagan,2021-09-08,9,9.96,27.4,25.46,29.08,32.09,2.19,86.9,Zone 3,Evacuated,4,1,0,0,0,0,0,1,Medium,89,HIGH
Cagayan de Oro,Kauswagan,2019-06-03,6,7.61,28.49,26.51,31.66,33.0,1.12,85.1,Zone 5,Safe,3,2,0,0,0,1,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2018-04-26,4,2.81,29.91,26.8,31.89,33.77,4.17,78.6,Zone 4,Safe,7,0,0,0,0,0,0,0,Medium,36,LOW
Cagayan de Oro,Kauswagan,2006-12-02,12,4.99,28.04,26.42,31.36,32.82,3.55,87.8,Zone 1,Unaccounted,2,0,0,0,0,0,0,0,Medium,52,MEDIUM
Cagayan de Oro,Kauswagan,2016-08-05,8,10.3,26.62,24.75,29.28,31.33,1.4,87.1,Zone 3,Unaccounted,2,1,1,0,0,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2020-01-21,1,12.09,26.49,23.32,30.41,30.15,3.17,76.6,Zone 5,Unaccounted,4,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2015-04-28,4,9.26,30.83,27.53,32.74,34.0,2.25,71.7,Zone 6,Safe,7,0,0,0,1,1,0,1,Medium,90,HIGH
Cagayan de Oro,Kauswagan,2020-07-23,7,12.68,28.75,25.93,31.47,33.67,1.46,89.2,Zone 6,Safe,4,3,0,0,0,0,1,1,Medium,93,HIGH
Cagayan de Oro,Kauswagan,2013-01-24,1,11.36,28.17,26.56,31.13,32.06,3.52,78.9,Zone 1,Safe,9,0,1,1,0,0,1,1,Medium,81,HIGH
Cagayan de Oro,Kauswagan,2010-10-03,10,7.6,26.53,24.22,30.38,31.35,4.09,88.2,Zone 2,Safe,10,1,0,0,0,1,0,1,Medium,83,HIGH
Cagayan de Oro,Kauswagan,2021-11-19,11,9.49,26.7,24.15,30.54,31.31,4.02,86.1,Zone 6,Safe,6,1,0,0,0,0,0,1,Medium,78,HIGH
Cagayan de Oro,Kauswagan,2012-11-21,11,8.85,27.72,25.31,31.54,31.47,1.57,77.5,Zone 3,Unaccounted,1,1,1,0,1,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2011-04-17,4,14.52,28.61,26.85,30.98,32.39,3.15,77.8,Zone 4,Safe,4,0,0,0,0,0,0,1,Medium,38,LOW
Cagayan de Oro,Kauswagan,2012-09-23,9,8.97,27.37,24.65,31.34,31.48,3.67,81.1,Zone 1,Evacuated,1,2,1,0,0,0,0,1,Medium,49,MEDIUM
Cagayan de Oro,Kauswagan,2006-03-09,3,6.49,28.69,25.41,32.05,32.01,3.43,73.2,Zone 3,Safe,5,1,0,1,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2011-11-21,11,11.29,27.19,24.68,29.32,31.77,2.61,85.8,Zone 5,Unaccounted,1,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2003-05-02,5,7.26,28.55,26.38,30.38,32.57,2.56,80.2,Zone 5,Unaccounted,3,1,0,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2006-09-01,9,10.42,28.51,26.86,32.22,33.37,1.78,88.6,Zone 5,Unaccounted,9,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2016-09-05,9,13.88,28.1,26.35,30.37,33.17,2.51,90.7,Zone 5,Unaccounted,1,3,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2006-04-22,4,6.66,28.94,26.73,31.84,31.78,0.7,68.4,Zone 2,Unaccounted,10,1,1,1,0,0,1,1,,100,HIGH
Cagayan de Oro,Kauswagan,2008-07-01,7,9.75,27.37,24.4,29.7,31.05,2.93,76.8,Zone 5,Unaccounted,4,1,1,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2018-01-28,1,3.4,26.93,24.99,30.47,31.35,2.65,84.2,Zone 2,Safe,5,2,1,1,0,0,0,0,,83,HIGH
Cagayan de Oro,Kauswagan,2015-11-07,11,11.81,29.07,26.91,32.73,33.92,3.49,88.5,Zone 6,Unaccounted,5,1,0,0,0,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2006-06-01,6,10.03,28.0,24.75,30.15,32.02,0.5,80.2,Zone 1,Safe,5,1,0,0,1,0,0,1,Medium,61,MEDIUM
Cagayan de Oro,Kauswagan,2013-12-26,12,4.51,28.63,26.26,32.59,32.6,2.12,79.7,Zone 3,Safe,10,0,0,0,0,0,0,0,,90,HIGH
Cagayan de Oro,Kauswagan,2019-07-01,7,10.54,28.81,25.46,31.66,33.36,4.48,85.5,Zone 5,Evacuated,4,1,0,0,0,0,0,1,Medium,93,HIGH
Cagayan de Oro,Kauswagan,2022-11-11,11,7.4,26.58,24.45,30.2,30.79,4.75,82.1,Zone 2,Evacuated,5,1,0,0,1,0,0,1,Medium,63,MEDIUM
Cagayan de Oro,Kauswagan,2012-07-23,7,7.93,27.72,25.11,29.7,31.32,0.94,76.0,Zone 5,Evacuated,7,2,0,1,1,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2003-09-27,9,10.7,27.03,24.92,29.06,31.55,5.32,85.2,Zone 6,Evacuated,10,2,0,0,0,0,0,1,High,80,HIGH
Cagayan de Oro,Kauswagan,2009-08-22,8,10.52,27.65,25.13,31.13,32.41,2.65,87.6,Zone 5,Unaccounted,3,2,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2022-11-21,11,7.36,29.29,27.12,32.84,33.86,2.59,85.7,Zone 3,Evacuated,5,1,0,0,0,0,0,1,Medium,91,HIGH
Cagayan de Oro,Kauswagan,2010-01-02,1,13.46,27.37,23.9,30.4,31.52,1.94,81.5,Zone 1,Evacuated,8,0,0,1,0,0,0,1,Medium,47,MEDIUM
Cagayan de Oro,Kauswagan,2015-12-23,12,9.63,27.02,24.53,29.13,31.5,4.24,84.8,Zone 6,Evacuated,1,2,1,0,0,1,0,1,Medium,80,HIGH
Cagayan de Oro,Kauswagan,2019-04-06,4,6.16,29.5,27.07,32.39,33.02,1.65,75.2,Zone 5,Unaccounted,2,0,0,0,1,0,1,1,,100,HIGH
Cagayan de Oro,Kauswagan,2019-08-20,8,19.68,26.62,24.27,30.39,30.85,3.89,82.3,Zone 6,Safe,3,2,0,0,0,0,0,1,High,87,HIGH
Cagayan de Oro,Kauswagan,2010-05-25,5,11.92,28.85,25.67,31.04,32.29,2.81,74.4,Zone 6,Evacuated,8,1,0,0,0,0,0,1,Medium,66,MEDIUM
Cagayan de Oro,Kauswagan,2012-02-23,2,5.39,28.26,26.29,30.6,31.86,3.52,76.0,Zone 1,Unaccounted,2,0,0,0,0,0,0,1,Medium,60,MEDIUM
Cagayan de Oro,Kauswagan,2009-12-05,12,12.0,26.81,25.18,29.33,31.67,3.78,88.6,Zone 3,Safe,7,0,1,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2018-10-13,10,9.35,26.54,25.03,28.92,31.25,3.3,87.1,Zone 5,Evacuated,7,1,0,0,0,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2010-04-16,4,2.39,28.79,26.74,31.5,31.25,4.62,64.6,Zone 6,Safe,7,1,1,1,0,0,0,0,Medium,94,HIGH
Cagayan de Oro,Kauswagan,2021-07-19,7,9.11,28.89,26.06,30.6,33.12,2.74,82.3,Zone 5,Safe,8,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2017-06-07,6,11.63,28.12,25.97,31.52,32.05,4.13,79.3,Zone 1,Safe,7,1,0,0,0,0,0,1,Medium,57,MEDIUM
Cagayan de Oro,Kauswagan,2020-01-24,1,6.67,28.46,26.86,32.34,32.14,2.49,76.8,Zone 3,Safe,2,1,1,0,0,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2003-04-07,4,4.24,29.42,26.68,31.52,32.92,2.61,75.0,Zone 3,Safe,2,0,0,0,0,0,0,0,,80,HIGH
Cagayan de Oro,Kauswagan,2014-12-09,12,5.87,27.67,25.83,30.69,31.8,3.68,81.3,Zone 6,Evacuated,2,1,0,0,0,0,0,1,Medium,56,MEDIUM
Cagayan de Oro,Kauswagan,2021-05-04,5,5.2,29.24,27.69,31.52,33.75,2.99,85.1,Zone 5,Evacuated,7,0,1,0,0,0,0,1,,98,HIGH
Cagayan de Oro,Kauswagan,2010-10-23,10,10.12,28.95,27.25,32.38,33.31,3.67,83.6,Zone 5,Unaccounted,10,3,1,0,0,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2016-06-18,6,7.62,27.42,24.6,29.09,32.03,0.33,86.1,Zone 1,Evacuated,1,3,1,0,0,1,0,1,Medium,63,MEDIUM
Cagayan de Oro,Kauswagan,2017-06-21,6,15.88,28.79,25.88,31.38,33.22,3.66,84.3,Zone 2,Evacuated,5,2,0,1,0,1,1,1,High,94,HIGH
Cagayan de Oro,Kauswagan,2011-12-19,12,13.2,28.48,26.34,30.59,32.86,2.34,83.8,Zone 6,Unaccounted,5,2,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2022-08-19,8,7.57,27.37,24.53,29.71,31.99,1.18,86.2,Zone 3,Safe,6,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2011-05-11,5,15.29,29.42,26.16,32.67,32.04,1.42,66.2,Zone 3,Safe,1,0,0,0,0,0,0,1,High,100,HIGH
Cagayan de Oro,Kauswagan,2016-04-24,4,3.23,29.04,26.56,32.44,32.95,2.87,79.1,Zone 6,Evacuated,8,0,0,0,0,0,0,0,,45,MEDIUM
Cagayan de Oro,Kauswagan,2015-05-08,5,9.87,27.92,25.04,30.19,30.97,3.14,70.5,Zone 5,Safe,8,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2013-12-18,12,7.26,27.06,24.86,29.69,31.26,4.96,82.0,Zone 5,Safe,4,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2020-02-24,2,6.17,28.42,25.02,31.65,32.53,2.7,81.1,Zone 3,Safe,8,0,0,0,0,0,1,1,,100,HIGH
Cagayan de Oro,Kauswagan,2006-10-10,10,9.02,28.2,25.03,30.44,32.43,2.09,82.3,Zone 1,Safe,5,1,0,0,1,0,0,1,Medium,61,MEDIUM
Cagayan de Oro,Kauswagan,2020-01-02,1,3.76,28.36,26.28,32.22,32.51,2.34,81.5,Zone 3,Evacuated,8,0,0,0,0,0,0,0,,75,HIGH
Cagayan de Oro,Kauswagan,2018-05-16,5,6.18,30.27,27.89,32.23,34.26,2.9,79.9,Zone 6,Safe,8,0,0,0,0,0,0,1,,68,MEDIUM
Cagayan de Oro,Kauswagan,2021-08-03,8,7.96,28.24,25.48,29.87,32.63,0.5,83.9,Zone 6,Safe,10,3,0,0,0,0,0,1,Medium,93,HIGH
Cagayan de Oro,Kauswagan,2020-04-04,4,5.96,27.65,24.62,30.67,30.9,2.41,72.5,Zone 2,Evacuated,4,1,0,0,0,0,0,1,,46,MEDIUM
Cagayan de Oro,Kauswagan,2021-08-10,8,6.81,27.99,24.51,30.25,32.79,2.15,88.0,Zone 3,Evacuated,10,3,0,0,0,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2009-04-21,4,5.66,28.42,26.39,30.12,31.39,1.83,69.7,Zone 2,Safe,9,0,0,0,0,0,0,1,,62,MEDIUM
Cagayan de Oro,Kauswagan,2022-08-23,8,6.45,27.45,25.01,29.03,31.97,0.0,85.2,Zone 5,Safe,5,2,0,0,0,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2011-11-08,11,7.13,28.56,25.48,31.62,33.2,1.76,86.4,Zone 5,Evacuated,4,1,0,1,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2007-05-27,5,4.56,28.22,26.58,30.13,32.77,2.13,85.5,Zone 3,Safe,10,3,0,0,0,0,0,0,,100,HIGH
Cagayan de Oro,Kauswagan,2012-08-23,8,10.21,26.81,23.91,30.67,31.32,3.66,85.1,Zone 4,Safe,8,1,0,0,0,1,0,1,Medium,59,MEDIUM
Cagayan de Oro,Kauswagan,2022-12-11,12,7.06,25.33,23.33,27.06,29.11,1.41,77.8,Zone 3,Unaccounted,10,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2011-11-27,11,5.5,27.08,24.43,30.49,31.07,2.08,79.9,Zone 6,Safe,9,2,0,1,1,1,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2018-08-03,8,11.26,28.12,25.92,30.45,32.27,2.5,81.5,Zone 4,Evacuated,3,1,0,0,1,0,0,1,Medium,36,LOW
Cagayan de Oro,Kauswagan,2020-11-13,11,8.71,28.87,27.3,30.59,33.01,1.7,81.4,Zone 3,Safe,2,3,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2003-09-27,9,9.0,28.15,25.33,31.01,32.66,2.65,85.1,Zone 3,Safe,4,1,0,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2004-11-15,11,6.36,27.1,25.19,29.97,31.25,2.0,81.5,Zone 3,Unaccounted,8,3,0,0,0,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2022-01-21,1,2.27,27.75,24.65,31.02,31.71,2.4,79.6,Zone 6,Safe,1,0,0,0,0,0,0,0,,48,MEDIUM
Cagayan de Oro,Kauswagan,2006-02-15,2,8.17,27.07,24.27,28.95,30.98,2.75,79.1,Zone 5,Unaccounted,5,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2010-08-16,8,10.98,26.99,24.58,28.85,31.26,1.3,82.7,Zone 3,Safe,10,1,1,0,1,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2019-07-11,7,8.87,27.55,25.52,29.06,31.34,3.46,77.9,Zone 5,Evacuated,10,1,0,1,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2018-08-18,8,10.79,26.31,24.12,29.19,30.75,2.01,84.4,Zone 2,Safe,8,3,0,1,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2016-04-28,4,2.39,29.41,27.82,32.77,33.15,3.43,77.4,Zone 5,Evacuated,7,0,0,1,0,0,0,0,Medium,95,HIGH
Cagayan de Oro,Kauswagan,2007-08-02,8,7.64,26.77,24.27,29.75,31.34,2.61,85.7,Zone 2,Unaccounted,8,1,1,1,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2005-11-05,11,7.19,28.86,26.42,32.78,33.11,2.64,82.5,Zone 5,Safe,7,2,0,0,0,1,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2018-06-21,6,7.16,28.24,25.0,29.83,32.66,3.74,84.2,Zone 4,Safe,5,3,0,0,0,1,0,1,Medium,66,MEDIUM
Cagayan de Oro,Kauswagan,2006-02-25,2,4.86,28.26,25.87,31.5,31.86,4.06,76.0,Zone 3,Unaccounted,1,0,0,0,0,0,0,0,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2016-06-12,6,9.72,27.83,26.04,30.66,31.4,2.52,75.7,Zone 6,Safe,3,1,0,0,0,0,0,1,Medium,73,HIGH
Cagayan de Oro,Kauswagan,2010-07-20,7,9.55,27.88,25.38,30.84,31.93,2.84,80.5,Zone 6,Safe,5,1,0,0,0,1,0,1,Medium,84,HIGH
Cagayan de Oro,Kauswagan,2020-05-22,5,6.59,28.88,27.06,31.48,32.68,4.0,78.0,Zone 4,Safe,10,0,0,1,1,1,0,1,Medium,71,HIGH
Cagayan de Oro,Kauswagan,2018-04-13,4,9.04,29.12,27.41,31.57,31.98,1.52,68.6,Zone 5,Safe,5,3,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2011-11-13,11,8.11,27.92,26.4,31.58,32.08,3.49,81.6,Zone 5,Evacuated,1,3,0,0,1,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2014-04-20,4,4.44,28.44,26.5,30.42,31.57,1.84,71.3,Zone 5,Safe,3,1,1,1,1,0,0,0,,100,HIGH
Cagayan de Oro,Kauswagan,2014-01-19,1,9.41,28.01,25.05,29.74,31.16,2.84,71.5,Zone 3,Safe,7,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2019-09-12,9,8.57,28.07,25.57,30.25,32.21,0.0,81.4,Zone 6,Safe,8,3,0,0,0,0,0,1,Medium,93,HIGH
Cagayan de Oro,Kauswagan,2006-06-26,6,7.48,30.61,28.17,32.3,34.73,2.56,81.2,Zone 6,Evacuated,4,3,0,0,0,1,0,1,Medium,79,HIGH
Cagayan de Oro,Kauswagan,2005-09-12,9,17.65,27.87,24.79,29.4,32.46,3.03,85.9,Zone 2,Safe,8,1,0,0,1,0,0,1,High,91,HIGH
Cagayan de Oro,Kauswagan,2014-10-13,10,8.33,29.01,27.29,31.09,33.48,2.62,84.7,Zone 6,Safe,9,1,1,0,0,0,0,1,Medium,93,HIGH
Cagayan de Oro,Kauswagan,2017-11-27,11,10.84,28.02,24.7,30.28,32.08,2.34,80.6,Zone 3,Safe,3,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2006-08-04,8,13.22,25.74,23.77,28.58,30.15,3.25,84.1,Zone 3,Safe,6,2,0,0,0,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2007-07-19,7,9.71,27.59,24.32,30.73,31.54,2.32,79.5,Zone 2,Unaccounted,10,1,1,0,1,0,1,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2010-08-15,8,10.37,27.47,24.26,29.22,32.4,0.29,89.3,Zone 5,Evacuated,9,3,1,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2009-07-09,7,6.22,28.21,24.77,32.08,32.29,2.3,80.8,Zone 6,Unaccounted,2,2,0,0,0,0,1,1,,95,HIGH
Cagayan de Oro,Kauswagan,2013-01-02,1,5.62,27.32,25.33,29.13,30.81,3.31,74.9,Zone 6,Safe,2,2,0,0,0,0,1,1,Medium,84,HIGH
Cagayan de Oro,Kauswagan,2010-04-27,4,6.06,27.91,25.75,29.78,31.77,0.0,78.6,Zone 3,Unaccounted,1,0,1,1,1,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2003-02-22,2,4.16,27.66,25.9,30.06,31.48,2.19,78.2,Zone 6,Evacuated,10,0,0,0,0,0,0,0,,45,MEDIUM
Cagayan de Oro,Kauswagan,2016-01-05,1,6.44,26.14,23.59,29.5,29.8,2.42,76.6,Zone 2,Safe,6,0,0,0,0,0,0,1,,59,MEDIUM
Cagayan de Oro,Kauswagan,2022-09-08,9,11.49,27.42,25.83,30.88,31.64,1.63,82.2,Zone 5,Unaccounted,9,1,1,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2015-01-16,1,4.36,27.1,24.75,28.87,31.1,1.24,80.0,Zone 3,Evacuated,8,0,0,0,0,0,0,0,,75,HIGH
Cagayan de Oro,Kauswagan,2005-10-05,10,8.23,26.75,25.0,29.81,31.24,2.8,84.9,Zone 3,Safe,6,1,0,0,1,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2022-08-17,8,10.15,26.85,24.49,30.33,30.68,4.62,78.3,Zone 6,Safe,9,2,0,0,0,0,0,1,Medium,87,HIGH
Cagayan de Oro,Kauswagan,2016-08-08,8,11.36,26.95,24.77,29.58,31.98,0.4,90.3,Zone 3,Safe,2,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2007-05-12,5,8.68,27.46,24.59,30.15,30.36,1.85,69.0,Zone 6,Safe,2,0,0,0,0,0,0,1,Medium,65,MEDIUM
Cagayan de Oro,Kauswagan,2007-12-12,12,10.5,27.28,24.67,30.25,31.25,4.12,79.7,Zone 1,Safe,6,1,0,0,0,0,0,1,Medium,55,MEDIUM
Cagayan de Oro,Kauswagan,2016-11-25,11,9.59,28.14,24.9,31.44,32.19,2.0,80.5,Zone 5,Unaccounted,10,1,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2007-09-07,9,18.99,27.48,24.67,29.54,31.33,3.16,78.5,Zone 4,Safe,9,1,0,1,0,0,1,1,High,76,HIGH
Cagayan de Oro,Kauswagan,2020-07-28,7,9.89,28.22,24.77,31.77,33.27,4.38,90.5,Zone 5,Evacuated,9,1,1,0,1,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2012-05-23,5,4.92,29.85,26.51,32.23,33.6,0.0,77.5,Zone 1,Safe,3,0,0,0,0,0,0,0,,29,LOW
Cagayan de Oro,Kauswagan,2003-03-24,3,3.7,28.26,26.58,31.09,31.19,3.2,69.3,Zone 3,Safe,8,0,0,0,0,0,0,0,Medium,97,HIGH
Cagayan de Oro,Kauswagan,2021-12-11,12,7.56,26.59,23.9,30.3,30.92,0.4,83.3,Zone 3,Safe,10,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2016-08-22,8,10.86,27.74,25.27,30.35,32.48,0.68,87.4,Zone 1,Safe,9,1,0,0,0,0,0,1,Medium,58,MEDIUM
Cagayan de Oro,Kauswagan,2021-05-22,5,4.87,29.99,27.52,33.16,33.45,2.79,74.6,Zone 1,Safe,7,3,0,0,0,0,0,0,,54,MEDIUM
Cagayan de Oro,Kauswagan,2009-04-10,4,8.68,28.76,25.73,32.17,31.44,2.02,66.8,Zone 5,Safe,2,0,0,1,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2020-03-13,3,7.23,28.84,25.93,31.59,31.63,3.87,67.9,Zone 2,Unaccounted,6,0,1,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2005-01-15,1,10.36,27.02,23.8,29.96,31.25,2.64,82.3,Zone 5,Safe,7,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2022-06-06,6,13.01,29.35,26.93,32.57,33.37,3.26,80.2,Zone 3,Safe,7,3,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2019-10-13,10,8.67,27.61,25.95,31.29,32.19,2.24,85.8,Zone 6,Evacuated,4,1,0,0,0,0,0,1,Medium,59,MEDIUM
Cagayan de Oro,Kauswagan,2006-09-21,9,17.59,27.34,24.78,29.32,31.65,3.56,83.1,Zone 5,Evacuated,6,2,0,1,0,0,1,1,High,100,HIGH
Cagayan de Oro,Kauswagan,2011-02-05,2,2.51,27.9,26.01,30.91,31.18,4.03,72.8,Zone 5,Evacuated,2,0,0,0,0,1,1,0,Medium,91,HIGH
Cagayan de Oro,Kauswagan,2021-10-25,10,7.72,25.96,23.56,29.77,30.1,3.75,81.4,Zone 5,Safe,10,1,0,1,1,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2017-02-16,2,8.96,27.97,25.21,31.46,31.96,2.56,79.9,Zone 5,Safe,6,0,0,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2004-08-02,8,27.27,27.05,24.81,29.27,31.35,0.0,83.0,Zone 5,Evacuated,2,2,0,0,0,1,0,1,High,100,HIGH
Cagayan de Oro,Kauswagan,2004-10-18,10,11.62,26.09,23.69,29.61,30.14,3.45,80.5,Zone 2,Evacuated,6,2,1,0,0,0,0,1,Medium,75,HIGH
Cagayan de Oro,Kauswagan,2013-08-04,8,7.81,26.76,23.3,28.47,30.49,1.05,77.3,Zone 5,Evacuated,1,1,0,0,0,0,0,1,Medium,88,HIGH
