MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flood_risk_label
5,5,10,10,8,3,8,9,8,6,6,9,9,7,8,6,4,4,10,7,0.5519,MEDIUM
4,7,1,6,8,7,7,3,8,1,3,9,10,6,2,8,2,9,8,1,0.5013,MEDIUM
3,7,3,2,8,5,6,10,7,2,6,9,7,6,8,9,1,10,2,4,0.4396,MEDIUM
5,4,2,7,2,2,8,3,5,1,1,6,1,5,6,6,7,3,4,9,0.4134,MEDIUM
7,10,3,3,3,2,10,7,10,4,8,10,3,4,8,5,8,5,1,8,0.4412,MEDIUM
5,9,3,2,8,6,10,5,7,5,8,5,4,7,8,2,4,7,10,6,0.515,MEDIUM
10,5,5,1,7,5,1,10,1,10,8,5,4,10,6,4,4,10,5,3,0.5498,MEDIUM
2,1,5,8,1,10,6,3,2,5,6,7,3,4,3,9,6,9,9,5,0.5154,MEDIUM
3,5,8,5,6,2,8,2,3,4,7,9,6,2,7,1,5,9,2,8,0.3633,MEDIUM
6,5,10,7,6,2,4,8,1,10,9,6,10,4,2,8,5,7,2,3,0.5724,MEDIUM
1,1,5,8,2,2,4,9,3,7,8,6,9,7,10,3,7,2,8,10,0.5086,MEDIUM
7,5,1,6,4,8,8,4,6,2,6,9,6,1,7,5,4,2,8,2,0.4148,MEDIUM
4,10,1,1,6,4,3,10,4,2,9,4,10,4,4,6,3,10,1,5,0.4669,MEDIUM
3,3,9,5,3,2,1,3,1,6,4,10,6,1,3,5,1,3,7,9,0.3299,LOW
2,2,8,8,6,9,10,2,8,9,4,10,1,9,5,8,1,1,8,7,0.4936,MEDIUM
7,2,8,8,2,2,6,10,3,2,3,5,10,10,9,6,7,10,9,5,0.6042,HIGH
8,9,10,7,2,2,9,4,7,8,4,7,6,8,7,7,2,6,7,6,0.4249,MEDIUM
5,6,3,8,2,2,2,2,7,2,6,3,9,1,10,9,9,6,2,7,0.529,MEDIUM
6,7,1,5,10,5,6,2,10,9,4,3,8,4,2,6,9,6,2,5,0.6089,HIGH
10,4,7,9,10,10,9,1,10,5,1,3,5,5,6,6,1,3,3,10,0.502,MEDIUM
7,2,3,1,2,9,4,7,7,8,6,3,6,5,6,10,10,2,1,3,0.5756,MEDIUM
3,10,1,2,5,8,7,8,10,8,7,5,4,9,2,6,7,2,5,10,0.6393,HIGH
8,9,5,1,4,7,10,1,1,4,5,4,3,5,5,6,2,1,8,7,0.3597,MEDIUM
3,3,7,9,4,9,9,6,2,7,1,7,1,8,2,6,10,7,10,7,0.6015,HIGH
7,5,2,7,1,6,3,10,8,6,2,7,2,4,7,10,7,9,2,7,0.4452,MEDIUM
5,6,4,6,3,2,9,2,9,9,4,6,6,3,4,2,3,5,4,3,0.4329,MEDIUM
10,3,2,3,8,8,10,10,8,10,10,6,6,3,8,2,8,8,5,5,0.6146,HIGH
10,1,6,9,2,5,8,8,1,1,6,5,2,2,10,10,9,7,8,10,0.5158,MEDIUM
9,1,8,10,4,6,10,8,9,3,1,8,2,6,2,9,3,1,4,8,0.4981,MEDIUM
8,9,9,10,3,6,6,5,7,7,6,10,1,6,2,6,2,9,7,5,0.4038,MEDIUM
5,10,3,6,2,10,3,6,5,7,3,10,2,5,9,7,6,3,9,2,0.4245,MEDIUM
7,9,6,1,6,5,3,4,6,8,4,4,3,3,2,5,2,9,9,9,0.5254,MEDIUM
1,6,10,3,10,7,3,3,3,10,3,8,1,7,6,4,8,10,5,8,0.5313,MEDIUM
4,9,4,5,8,4,6,10,8,8,5,7,9,9,7,3,4,10,3,5,0.5182,MEDIUM
1,8,6,9,2,9,2,5,2,3,5,8,9,3,7,2,4,8,6,1,0.3732,MEDIUM
7,1,7,9,6,4,7,2,6,4,1,6,2,6,3,3,1,5,8,3,0.4133,MEDIUM
8,8,10,1,2,1,5,4,3,9,10,9,7,2,5,4,5,2,1,4,0.3755,MEDIUM
7,10,8,2,2,8,10,9,1,9,10,4,3,5,7,1,10,6,4,10,0.4743,MEDIUM
7,3,2,9,6,2,9,9,9,9,9,1,7,8,1,7,6,5,1,6,0.6399,HIGH
2,6,4,2,10,6,3,1,6,9,6,3,8,8,3,3,2,8,1,5,0.5372,MEDIUM
4,1,4,1,6,5,9,7,9,8,5,1,4,5,6,1,6,5,2,6,0.4928,MEDIUM
7,7,8,7,6,3,8,8,6,9,5,2,7,2,7,10,3,9,5,6,0.5721,MEDIUM
2,2,6,5,5,8,10,7,3,8,6,8,1,6,10,7,5,1,2,7,0.3719,MEDIUM
6,9,3,1,3,10,8,1,3,2,4,6,6,7,10,1,10,3,8,6,0.3758,MEDIUM
6,8,2,10,3,9,6,7,6,5,4,2,1,3,8,9,7,9,2,5,0.5121,MEDIUM
5,8,4,10,5,8,4,2,3,2,8,3,8,2,6,6,2,9,9,5,0.4637,MEDIUM
5,3,3,6,9,4,2,4,3,4,8,1,6,9,10,6,8,9,3,10,0.623,HIGH
2,2,5,7,8,9,7,7,10,2,3,6,2,8,8,9,6,3,9,10,0.5771,MEDIUM
3,3,7,9,1,2,9,3,5,3,3,6,4,6,9,5,2,5,4,9,0.3613,MEDIUM
5,3,5,10,9,2,9,3,10,10,3,3,10,10,6,10,1,1,2,1,0.5239,MEDIUM
10,5,4,10,7,10,1,8,9,5,5,8,4,7,5,8,2,1,3,8,0.5489,MEDIUM
7,8,8,4,6,10,3,6,6,6,7,3,6,9,9,2,6,4,8,2,0.4998,MEDIUM
5,8,4,3,2,1,5,7,10,7,4,3,6,10,6,4,3,8,9,8,0.5196,MEDIUM
8,5,8,1,2,7,9,8,4,4,10,6,1,1,5,8,10,8,5,9,0.4568,MEDIUM
1,2,7,3,5,6,7,6,1,7,1,10,9,4,6,9,5,2,7,9,0.4269,MEDIUM
8,9,5,10,10,2,3,2,7,6,6,9,6,3,4,10,9,7,9,1,0.5773,MEDIUM
1,1,3,6,8,9,8,3,10,9,3,6,10,6,3,7,10,5,10,6,0.7254,HIGH
9,9,9,8,10,5,8,1,6,6,2,7,10,5,1,10,8,5,10,10,0.5959,MEDIUM
4,1,10,8,3,9,10,7,3,4,1,10,2,4,1,8,6,7,3,7,0.4492,MEDIUM
4,7,9,10,8,1,3,9,4,9,6,8,9,7,6,3,8,9,6,9,0.5748,MEDIUM
6,5,10,8,4,4,5,9,5,4,5,5,4,8,6,8,6,9,5,5,0.4455,MEDIUM
2,10,9,7,7,6,3,5,1,5,2,6,8,5,8,4,4,9,5,9,0.4323,MEDIUM
5,3,2,10,10,4,4,1,9,4,4,1,2,7,6,8,2,3,1,9,0.5469,MEDIUM
3,7,8,8,4,5,6,5,1,2,10,4,9,1,3,7,3,1,7,8,0.5485,MEDIUM
3,5,1,1,5,10,10,2,6,5,8,9,9,8,3,9,8,5,4,2,0.5034,MEDIUM
6,3,8,5,3,1,6,5,10,4,3,10,7,7,9,6,2,7,2,3,0.401,MEDIUM
3,8,6,4,1,5,7,4,8,5,6,5,10,10,1,5,6,4,1,2,0.4542,MEDIUM
8,5,3,7,9,5,2,5,6,10,4,4,3,8,3,8,10,6,7,9,0.6366,HIGH
8,9,4,4,10,2,9,8,9,6,2,10,2,1,9,9,4,10,9,3,0.4957,MEDIUM
3,6,9,8,2,4,10,8,2,9,8,1,8,3,9,7,8,10,1,9,0.5301,MEDIUM
8,5,1,7,5,1,4,10,2,1,7,6,2,9,1,2,8,1,5,7,0.5483,MEDIUM
3,3,7,6,7,8,7,7,2,9,3,6,2,3,9,7,9,3,4,1,0.3914,MEDIUM
1,5,8,9,7,9,7,4,4,8,6,3,5,4,2,1,7,10,1,4,0.5561,MEDIUM
4,2,2,10,1,8,10,1,4,1,7,8,4,9,4,1,3,9,5,4,0.3884,MEDIUM
10,6,10,10,6,4,5,3,9,4,7,5,5,1,9,10,3,7,9,8,0.5568,MEDIUM
1,6,7,9,6,7,7,3,5,7,3,9,8,4,4,5,3,8,1,9,0.5376,MEDIUM
7,7,9,9,3,7,4,5,4,6,2,8,6,2,9,4,1,5,7,10,0.3826,MEDIUM
10,1,2,4,10,9,4,8,4,6,5,1,4,4,2,8,4,10,4,7,0.6551,HIGH
4,9,6,5,7,8,9,6,5,5,6,9,8,8,2,8,6,4,6,6,0.5151,MEDIUM
7,1,10,4,3,1,5,9,10,10,7,5,3,4,6,4,7,10,4,8,0.5299,MEDIUM
9,6,5,8,8,8,3,6,3,3,9,8,3,9,1,9,1,2,1,1,0.4491,MEDIUM
7,3,4,2,3,1,4,9,8,6,1,10,10,8,8,1,1,9,9,7,0.4916,MEDIUM
1,1,9,5,9,5,1,9,7,3,2,2,9,3,4,4,10,9,5,6,0.5408,MEDIUM
5,7,2,6,7,8,10,4,4,5,2,1,2,7,7,7,9,8,1,1,0.4856,MEDIUM
3,2,8,7,6,10,2,9,1,4,4,10,8,5,1,2,5,9,10,1,0.4966,MEDIUM
3,6,1,4,10,3,7,2,5,3,10,4,10,7,9,6,7,3,2,9,0.5731,MEDIUM
6,1,2,7,4,2,6,10,10,10,7,6,1,5,8,8,4,6,9,7,0.5687,MEDIUM
7,3,10,7,2,10,5,4,2,2,5,3,7,3,7,6,6,2,2,1,0.3927,MEDIUM
5,8,6,5,2,3,2,3,7,8,9,9,9,7,2,1,2,6,9,2,0.5103,MEDIUM
10,10,6,7,1,5,7,7,2,9,4,10,9,3,7,3,3,5,5,5,0.3563,MEDIUM
8,3,2,3,7,5,7,5,8,2,6,5,4,8,10,10,4,8,2,3,0.5147,MEDIUM
5,1,7,6,10,7,6,8,6,7,10,3,5,6,10,4,8,6,3,7,0.6412,HIGH
6,5,8,10,4,6,7,5,7,6,2,10,4,10,9,3,9,1,8,4,0.3857,MEDIUM
8,5,2,7,8,3,5,4,5,3,7,7,2,8,10,8,10,7,9,9,0.5852,MEDIUM
7,9,1,6,9,10,2,2,4,6,3,10,1,10,7,6,7,2,1,2,0.466,MEDIUM
5,4,9,9,9,10,10,4,8,6,7,8,10,9,3,6,1,8,2,5,0.5868,MEDIUM
7,2,2,3,6,5,6,8,4,9,8,6,8,2,8,8,6,2,5,1,0.4672,MEDIUM
2,1,6,2,3,4,9,3,9,3,6,9,7,8,4,7,3,3,7,7,0.3916,MEDIUM
1,10,4,8,10,7,7,1,4,4,5,2,10,2,9,3,6,6,4,8,0.4764,MEDIUM
2,5,8,9,6,10,7,10,7,10,2,6,6,8,10,3,5,10,10,2,0.5619,MEDIUM
3,6,2,4,5,2,3,6,3,9,7,7,10,3,10,7,7,3,8,9,0.5267,MEDIUM
3,9,3,8,5,3,3,6,8,10,1,6,1,8,3,4,7,9,9,8,0.575,MEDIUM
7,8,7,8,8,3,2,10,1,4,5,1,5,4,9,5,3,8,10,8,0.5117,MEDIUM
9,9,2,10,2,5,9,6,9,1,8,9,4,7,2,4,5,1,8,5,0.4982,MEDIUM
6,2,8,2,4,4,10,6,10,7,3,10,3,4,4,1,10,6,9,5,0.4617,MEDIUM
10,9,3,6,5,5,10,5,9,2,3,7,1,5,3,3,4,3,6,4,0.3825,MEDIUM
7,8,3,10,5,7,7,8,2,2,7,9,5,6,8,8,6,10,1,2,0.5524,MEDIUM
8,6,2,9,7,4,7,4,8,5,6,5,6,9,10,3,10,8,6,1,0.569,MEDIUM
1,2,8,1,2,3,8,8,1,7,4,3,5,3,5,2,6,5,2,6,0.3135,LOW
3,1,7,5,4,7,2,2,1,4,8,2,3,10,4,9,8,1,1,6,0.5318,MEDIUM
2,7,3,8,2,4,7,2,2,2,6,6,5,3,7,3,3,2,9,10,0.3388,LOW
1,10,3,8,6,4,3,7,10,8,4,2,2,3,2,10,7,6,7,6,0.6093,HIGH
3,4,5,2,4,9,10,10,10,5,1,5,4,9,10,9,4,7,5,1,0.513,MEDIUM
4,8,7,2,4,8,10,2,9,1,6,6,3,7,10,7,6,9,3,8,0.3727,MEDIUM
2,1,10,2,1,5,4,1,1,7,9,5,9,7,7,7,2,9,9,10,0.533,MEDIUM
3,5,2,5,2,9,4,3,9,6,7,10,2,5,7,4,1,4,2,7,0.4387,MEDIUM
2,8,10,10,1,5,3,2,1,3,1,3,8,6,9,9,5,3,6,3,0.4051,MEDIUM
5,2,1,6,7,5,9,2,5,10,2,8,8,9,6,1,8,10,3,6,0.6092,HIGH
3,5,2,10,2,4,9,1,1,1,4,1,8,6,7,3,3,1,9,7,0.4013,MEDIUM
4,6,4,7,6,5,2,10,6,2,9,1,3,4,9,1,7,2,8,5,0.481,MEDIUM
5,6,2,9,8,1,6,4,5,10,5,10,4,8,6,10,8,4,9,4,0.5144,MEDIUM
3,1,7,1,4,9,6,1,6,1,7,5,2,4,9,4,7,8,1,3,0.3451,LOW
5,2,1,4,9,7,6,8,2,10,2,9,3,7,2,10,10,1,7,3,0.5691,MEDIUM
4,5,5,6,7,6,6,8,5,4,2,4,3,10,2,3,2,3,8,8,0.5248,MEDIUM
6,7,2,9,6,4,8,5,8,5,2,2,3,5,10,1,4,6,3,2,0.4277,MEDIUM
4,6,7,9,1,5,5,3,1,7,8,9,9,4,2,8,2,3,2,1,0.4386,MEDIUM
1,4,3,4,7,6,2,10,10,5,2,1,2,4,8,3,2,6,2,1,0.4561,MEDIUM
8,1,3,10,7,7,8,1,7,7,3,6,4,3,5,5,8,3,1,10,0.5915,MEDIUM
10,10,4,5,8,7,9,8,1,2,5,7,3,7,4,9,4,9,1,7,0.4727,MEDIUM
6,8,9,8,6,10,9,6,7,5,3,1,6,10,4,1,5,1,8,9,0.6366,HIGH
6,10,4,3,2,4,4,5,9,1,4,10,7,6,3,3,4,10,6,6,0.4695,MEDIUM
10,1,6,10,10,3,10,4,8,9,5,3,8,1,2,1,4,10,4,1,0.5268,MEDIUM
9,8,1,6,10,4,3,6,3,6,1,1,3,10,3,2,9,6,2,6,0.5238,MEDIUM
7,10,2,6,5,6,3,3,7,8,6,3,9,10,6,4,10,3,7,5,0.6137,HIGH
5,3,3,1,10,7,10,1,3,10,6,10,4,10,2,8,3,6,2,4,0.4744,MEDIUM
6,6,3,2,6,8,1,5,4,4,2,6,5,2,1,1,7,8,7,3,0.5174,MEDIUM
7,8,7,6,9,7,2,8,10,4,3,8,2,1,5,1,6,5,2,2,0.4523,MEDIUM
6,3,7,3,2,9,2,6,10,10,8,1,7,3,10,7,3,1,2,6,0.5249,MEDIUM
4,4,7,9,9,5,5,5,4,2,1,7,10,9,8,3,1,6,1,7,0.4106,MEDIUM
2,5,10,8,4,2,1,4,3,5,2,8,2,5,7,8,8,5,2,9,0.345,LOW
7,3,6,7,6,3,8,1,5,8,8,5,4,5,10,1,3,2,2,6,0.3766,MEDIUM
9,7,10,4,9,1,7,9,7,9,8,10,4,8,5,2,7,1,9,10,0.5509,MEDIUM
9,10,10,3,2,8,3,3,4,4,3,1,7,2,7,4,3,10,5,6,0.4363,MEDIUM
2,2,7,9,7,9,6,5,9,8,1,10,10,9,7,2,7,3,3,10,0.4891,MEDIUM
10,10,2,2,10,2,5,9,6,7,5,7,8,10,10,8,1,3,5,7,0.5291,MEDIUM
3,10,10,7,1,7,6,4,1,8,5,6,1,6,5,5,5,8,2,4,0.3765,MEDIUM
3,5,8,6,5,7,10,2,4,8,4,7,8,9,6,1,9,3,2,5,0.3813,MEDIUM
9,7,3,9,10,1,3,4,4,1,4,1,8,1,6,4,5,6,8,9,0.5506,MEDIUM
7,2,1,4,6,8,10,8,3,8,10,9,6,6,3,5,2,5,1,7,0.5357,MEDIUM
1,3,10,4,4,4,4,5,7,9,1,1,8,3,3,10,1,4,5,10,0.4543,MEDIUM
5,5,7,7,6,8,5,4,8,5,9,10,7,10,2,1,9,6,9,10,0.6254,HIGH
10,5,5,2,8,2,6,5,6,5,5,5,4,3,9,4,1,10,7,6,0.4835,MEDIUM
3,1,8,5,5,7,7,7,1,10,10,4,6,4,9,8,6,9,5,3,0.5711,MEDIUM
9,3,5,2,8,3,5,9,3,6,2,4,6,4,5,7,6,6,5,10,0.5922,MEDIUM
5,8,2,8,1,10,10,10,2,8,4,9,2,7,9,5,7,1,3,3,0.3504,MEDIUM
4,6,7,10,8,3,6,3,2,8,6,3,6,1,1,8,5,4,3,10,0.4792,MEDIUM
3,8,2,3,10,7,7,7,7,8,7,1,1,9,4,6,1,6,9,4,0.5817,MEDIUM
1,1,4,4,6,5,3,2,7,9,10,5,3,2,1,5,5,8,9,10,0.615,HIGH
9,6,7,3,6,8,6,4,3,7,1,4,4,3,4,1,10,9,3,2,0.4706,MEDIUM
6,1,7,5,9,10,1,10,1,2,1,1,2,7,8,7,2,9,5,8,0.7152,HIGH
3,4,1,5,7,2,9,5,10,10,3,7,2,9,10,2,5,2,2,8,0.4617,MEDIUM
4,10,4,5,9,4,6,7,5,3,1,9,8,4,8,6,4,1,1,2,0.3899,MEDIUM
2,10,8,3,2,9,2,2,5,4,8,5,5,8,1,2,3,1,5,6,0.4493,MEDIUM
6,7,2,2,1,1,3,3,6,6,8,10,5,2,6,6,3,2,7,7,0.4261,MEDIUM
8,5,7,8,7,3,2,3,1,3,2,7,10,8,10,8,3,10,7,6,0.4929,MEDIUM
10,1,3,8,8,2,7,8,1,2,5,6,1,9,10,10,4,6,9,9,0.5859,MEDIUM
10,2,7,4,8,6,7,3,9,10,1,1,3,9,8,8,3,2,8,6,0.5246,MEDIUM
4,6,5,1,9,4,9,7,7,4,2,8,8,10,8,2,8,8,6,2,0.4405,MEDIUM
8,1,2,7,7,1,9,9,1,2,10,10,5,9,9,4,8,6,6,1,0.4695,MEDIUM
4,8,6,9,10,10,8,6,8,2,2,4,1,6,6,5,9,9,6,2,0.5144,MEDIUM
1,3,8,3,7,2,5,10,4,4,2,7,4,8,4,6,2,7,1,10,0.5315,MEDIUM
2,8,8,10,9,3,8,1,9,1,9,7,10,8,9,3,10,3,3,2,0.3586,MEDIUM
7,10,10,6,9,7,7,10,4,5,7,6,5,8,3,3,7,10,9,5,0.5886,MEDIUM
9,6,9,4,4,4,10,5,6,3,3,9,9,6,2,6,9,8,10,10,0.4633,MEDIUM
7,9,5,7,1,9,2,1,7,3,1,1,4,5,3,5,5,3,1,5,0.42,MEDIUM
4,9,1,6,8,2,10,9,4,9,7,4,9,5,1,7,7,7,6,9,0.6491,HIGH
1,1,5,4,10,8,4,6,10,9,10,4,4,5,8,3,2,3,3,9,0.5581,MEDIUM
2,7,1,7,5,9,5,3,3,10,5,1,6,8,3,1,3,6,10,1,0.4958,MEDIUM
10,5,8,10,9,6,2,6,9,4,3,9,2,9,3,7,9,9,7,2,0.5825,MEDIUM
6,4,4,6,6,6,5,4,10,9,8,9,1,2,6,8,4,10,10,4,0.5883,MEDIUM
1,6,7,2,7,5,9,5,1,9,6,9,9,8,8,1,5,4,6,9,0.3819,MEDIUM
2,2,3,9,9,1,2,4,4,7,2,4,9,7,2,3,1,8,6,1,0.5364,MEDIUM
2,2,1,3,5,9,2,10,4,5,7,7,8,7,7,6,1,7,2,9,0.5629,MEDIUM
1,10,2,10,1,2,6,9,2,5,5,10,2,5,8,7,7,1,8,3,0.3462,LOW
9,4,3,7,9,5,3,5,6,1,9,9,3,2,1,1,10,10,7,9,0.6858,HIGH
9,2,5,4,6,4,7,9,3,3,3,4,10,5,4,2,3,10,1,9,0.5476,MEDIUM
8,9,2,5,2,5,2,4,10,8,6,6,3,4,2,5,10,2,4,6,0.4523,MEDIUM
8,8,6,10,5,10,3,10,10,6,6,7,3,1,6,4,4,7,5,6,0.563,MEDIUM
3,6,8,8,8,6,5,8,9,2,3,10,2,5,3,9,4,5,2,2,0.4124,MEDIUM
1,9,1,10,10,7,10,4,1,9,5,9,9,8,3,6,7,4,10,5,0.5841,MEDIUM
3,8,9,9,2,7,6,9,1,4,10,3,9,3,8,3,3,10,10,3,0.4516,MEDIUM
8,6,1,4,8,4,2,5,6,4,1,4,9,6,7,8,8,1,1,6,0.5176,MEDIUM
2,9,5,5,10,9,10,3,7,7,6,10,2,9,5,7,4,9,7,6,0.5146,MEDIUM
6,8,8,10,1,9,3,8,3,4,2,9,5,4,3,3,3,6,10,2,0.4791,MEDIUM
4,7,6,2,8,8,8,4,10,3,7,1,4,1,3,10,10,3,3,9,0.4853,MEDIUM
1,10,3,1,3,5,3,9,7,10,10,1,5,2,4,8,10,8,8,3,0.5644,MEDIUM
4,7,10,3,10,3,10,9,5,3,6,8,10,10,2,4,7,7,3,2,0.4477,MEDIUM
1,4,9,9,7,3,10,2,3,8,10,10,1,9,9,2,2,8,3,10,0.3683,MEDIUM
9,1,7,9,7,6,1,9,7,4,8,7,6,10,10,2,7,3,5,8,0.6762,HIGH
4,2,5,10,9,7,5,4,1,1,10,9,2,9,1,7,4,6,7,6,0.5718,MEDIUM
2,3,7,10,5,5,9,7,10,6,10,5,7,4,7,9,9,8,3,6,0.5329,MEDIUM
9,9,8,5,5,10,6,7,3,2,4,8,3,2,4,9,7,6,9,10,0.5423,MEDIUM
1,3,7,1,2,3,8,10,7,2,2,5,4,6,2,10,1,7,7,10,0.546,MEDIUM
9,5,10,1,3,8,8,1,4,9,5,4,1,10,9,9,4,10,3,1,0.4691,MEDIUM
6,4,1,3,2,5,7,6,7,7,10,4,9,1,2,2,9,5,9,10,0.5392,MEDIUM
6,6,5,4,10,4,8,7,10,1,5,3,7,9,2,9,2,9,5,6,0.564,MEDIUM
2,9,5,9,10,5,8,7,10,8,4,6,8,8,10,1,8,2,5,2,0.5285,MEDIUM
7,4,4,6,7,6,9,9,1,5,4,5,2,7,6,2,9,3,8,6,0.4661,MEDIUM
6,4,10,5,3,4,8,4,4,4,5,4,4,4,4,10,6,3,2,2,0.4122,MEDIUM
2,8,10,1,9,1,8,6,10,6,8,10,5,8,3,9,5,7,4,10,0.5143,MEDIUM
3,1,9,7,8,9,1,9,6,7,3,8,2,9,8,6,1,1,4,7,0.4629,MEDIUM
10,2,6,6,10,5,3,9,5,4,5,8,10,6,6,3,8,7,4,7,0.6032,HIGH
6,6,7,5,8,3,10,3,10,4,2,5,4,9,7,7,4,3,3,8,0.3092,LOW
1,3,7,8,3,9,9,6,8,5,5,9,10,1,7,2,3,1,4,5,0.3535,MEDIUM
